home,away,spread,neutral,difference,pick,level,time
Texas A&M Corpus Chris,Southeast Missouri State,-3.5,4.59,4.59,Texas A&M Corpus Chris,high,2023-03-14 06:40 PM
Rutgers,Hofstra,-5.5,7.55,7.55,Rutgers,high,2023-03-14 07:00 PM
Michigan,Toledo,-6.5,6.9,6.9,Michigan,high,2023-03-14 07:00 PM
UAB,Southern Mississippi,-8.5,4.18,4.18,UAB,high,2023-03-14 07:30 PM
Liberty,Villanova,-4.0,-1.7,-1.7,Villanova,low,2023-03-14 09:00 PM
Vanderbilt,Yale,-3.5,1.33,1.33,Vanderbilt,low,2023-03-14 09:00 PM
Mississippi State,Pittsburgh,-2.5,2.77,2.77,Mississippi State,medium,2023-03-14 09:10 PM
Wisconsin,Bradley,-3.0,4.11,4.11,Wisconsin,high,2023-03-14 09:30 PM
Colorado,Seton Hall,-4.0,0.35,0.35,Colorado,low,2023-03-14 11:00 PM
Washington State,Eastern Washington,-10.5,8.58,8.58,Washington State,high,2023-03-14 11:00 PM
Fairleigh Dickinson,Texas Southern,2.0,-3.99,-3.99,Texas Southern,medium,2023-03-15 06:40 PM
Clemson,Morehead State,-15.5,14.89,14.89,Clemson,high,2023-03-15 07:00 PM
Florida,Central Florida,-2.5,1.43,1.43,Florida,low,2023-03-15 07:00 PM
Oklahoma State,Youngstown State,-5.5,12.4,12.4,Oklahoma State,high,2023-03-15 07:00 PM
North Texas,Alcorn State,-17.5,14.74,14.74,North Texas,high,2023-03-15 08:00 PM
Cincinnati,Virginia Tech,-5.5,1.99,1.99,Cincinnati,low,2023-03-15 09:00 PM
Sam Houston State,Santa Clara,4.5,0.95,0.95,Sam Houston State,low,2023-03-15 09:00 PM
Nevada,Arizona State,2.5,1.39,1.39,Nevada,low,2023-03-15 09:10 PM
New Mexico,Utah Valley,-5.5,3.02,3.02,New Mexico,medium,2023-03-15 10:00 PM
Oregon,Cal Irvine,-9.0,7.71,7.71,Oregon,high,2023-03-15 11:00 PM
Maryland,West Virginia,2.5,-1.61,-1.61,West Virginia,low,2023-03-16 12:15 PM
Virginia,Furman,-5.5,7.47,7.47,Virginia,high,2023-03-16 12:40 PM
Missouri,Utah State,1.5,-3.4,-3.4,Utah State,medium,2023-03-16 01:40 PM
Kansas,Howard,-22.5,23.16,23.16,Kansas,high,2023-03-16 02:00 PM
San Diego State,Charleston,-5.5,9.34,9.34,San Diego State,high,2023-03-16 03:10 PM
Arizona,Princeton,-14.5,14.87,14.87,Arizona,high,2023-03-16 04:10 PM
Arkansas,Illinois,-1.5,1.85,1.85,Arkansas,low,2023-03-16 04:30 PM
Iowa,Auburn,1.5,-1.29,-1.29,Auburn,low,2023-03-16 06:50 PM
Duke,Oral Roberts,-6.5,6.12,6.12,Duke,high,2023-03-16 07:10 PM
Texas,Colgate,-13.5,17.96,17.96,Texas,high,2023-03-16 07:25 PM
Northwestern,Boise State,-1.5,-1.28,-1.28,Boise State,low,2023-03-16 07:35 PM
Houston University,Northern Kentucky,-19.5,19.51,19.51,Houston University,high,2023-03-16 09:20 PM
Tennessee,Louisiana,-11.5,13.18,13.18,Tennessee,high,2023-03-16 09:40 PM
Texas A&M,Penn State,-2.5,1.69,1.69,Texas A&M,low,2023-03-16 09:55 PM
UCLA,UNC Asheville,-17.5,20.98,20.98,UCLA,high,2023-03-16 10:05 PM
Michigan State,USC,-2.5,1.75,1.75,Michigan State,low,2023-03-17 12:15 PM
Xavier,Kennesaw State,-11.5,13.9,13.9,Xavier,high,2023-03-17 12:40 PM
Baylor,Cal Santa Barbara,-10.5,12.31,12.31,Baylor,high,2023-03-17 01:30 PM
Saint Marys CA,Virginia Commonwealth,-4.5,7.02,7.02,Saint Marys CA,high,2023-03-17 02:00 PM
Marquette,Vermont,-10.5,13.79,13.79,Marquette,high,2023-03-17 02:45 PM
Creighton,N.C. State,-5.5,6.36,6.36,Creighton,high,2023-03-17 04:00 PM
Connecticut,Iona,-9.5,12.19,12.19,Connecticut,high,2023-03-17 04:30 PM
Kentucky,Providence,-4.5,2.53,2.53,Kentucky,medium,2023-03-17 07:10 PM
Miami Florida,Drake,-1.5,3.14,3.14,Miami Florida,medium,2023-03-17 07:25 PM
Gonzaga,Grand Canyon,-15.5,13.94,13.94,Gonzaga,high,2023-03-17 07:35 PM
Memphis,Florida Atlantic,-2.0,2.0,2.0,Memphis,low,2023-03-17 09:20 PM
Kansas State,Montana State,-8.5,11.34,11.34,Kansas State,high,2023-03-17 09:40 PM
Indiana University,Kent State,-4.0,6.59,6.59,Indiana University,high,2023-03-17 09:55 PM
Indiana State,USC Upstate,-11.0,10.01,10.01,Indiana State,high,2023-03-18 11:00 AM
Charlotte University,Western Carolina,-7.0,7.03,7.03,Charlotte University,high,2023-03-18 05:30 PM
Eastern Kentucky,Cleveland State,-1.0,1.42,1.42,Eastern Kentucky,low,2023-03-19 11:00 AM
Duquesne,Rice,-5.0,4.36,4.36,Duquesne,high,2023-03-19 01:30 PM
Stetson,Wisconsin Milwaukee,-3.0,4.33,4.33,Stetson,high,2023-03-19 06:30 PM
